0,Ag,0.0 0.013796673833213667 0.013796673833213783 0.013796673833213612 0.013796673833213686 0.013796673833213665 0.01379667383321369 0.013796673833213648 0.013796673833213714 0.013796673833213704 0.013796673833213634 0.01379667383321368 0.013796673833213714 0.013796673833213662 0.01379667383321369 0.013796673833213624 0.013796673833213586 0.01379667383321365 0.013796673833213735 0.013796673833213634 0.01379667383321366 0.013796673833213634 0.013796673833213709 0.013796673833213636 0.013796673833213716 0.01379667383321364 0.01379667383321368 0.013796673833213648 0.013796673833213808 0.013796673833213601 0.013796673833213617 0.013796673833213691 0.013796673833213789 0.013796673833213625 0.013796673833213719 0.013796673833212704 0.013796673833209363 0.013796673832475816 0.01379667383122426 0.013796673798883897 0.013796673797156425 0.013796673510237238 0.013796673668223205 0.013796671330142722 0.013796673799925128 0.013796652695023065 0.01379668435936525 0.013796475600134403 0.013797128818035223 0.013818298831482752 0.013899459027303055 0.013964979030543912 0.014000662873339623 0.014014219057537365 0.014025874120790429 0.01400618496648572 0.01425498374481919 0.02144371840828104 0.04057240065465651 0.0540340384640778 
1,Au,0.25 0.09541591263669502 0.09541591263669551 0.09541591263669492 0.09541591263669466 0.0954159126366952 0.09541591263669548 0.09541591263669523 0.09541591263669538 0.09541591263669542 0.09541591263669538 0.09541591263669547 0.0954159126366956 0.09541591263669517 0.09541591263669529 0.09541591263669515 0.09541591263669477 0.0954159126366951 0.09541591263669479 0.09541591263669513 0.09541591263669481 0.09541591263669505 0.09541591263669458 0.09541591263669516 0.09541591263669573 0.0954159126366952 0.09541591263669494 0.09541591263669523 0.09541591263669576 0.09541591263669526 0.09541591263669477 0.09541591263669592 0.09541591263669538 0.09541591263669545 0.09541591263669597 0.09541591263669612 0.09541591263670457 0.0954159126380428 0.09541591264032694 0.0954159126993499 0.09541591270250273 0.09541591322611005 0.09541591293780657 0.09541591720441663 0.09541591269778579 0.09541595120809407 0.09541589343550166 0.09541627426590696 0.09541507347228109 0.09537553160511324 0.0952244495680446 0.09510128687392287 0.09503655942948674 0.09500062956369143 0.09499980988755134 0.09492650962170426 0.09566971127281533 0.11212775395433106 0.12981133437641446 0.12906282340629535 
1,Ag,0.25 0.0865861345674236 0.08658613456742253 0.08658613456742334 0.08658613456742272 0.08658613456742344 0.08658613456742323 0.08658613456742341 0.08658613456742258 0.08658613456742342 0.08658613456742344 0.08658613456742334 0.08658613456742408 0.08658613456742326 0.08658613456742288 0.08658613456742342 0.08658613456742302 0.08658613456742337 0.08658613456742283 0.08658613456742335 0.08658613456742298 0.08658613456742338 0.08658613456742288 0.08658613456742346 0.086586134567423 0.08658613456742337 0.08658613456742321 0.08658613456742321 0.08658613456742346 0.0865861345674234 0.08658613456742348 0.08658613456742356 0.08658613456742423 0.08658613456742328 0.08658613456742353 0.08658613456741995 0.08658613456740955 0.08658613456501263 0.08658613456092182 0.08658613445521648 0.0865861344495705 0.08658613351177637 0.08658613402815384 0.0865861263861609 0.08658613445863284 0.08658606547756846 0.08658616897228157 0.08658548665038013 0.08658762229591822 0.08665687762886853 0.08692235024895341 0.08713674323350067 0.08725335547526933 0.08729839012912124 0.08733519520669066 0.08727770888923371 0.08804863627672332 0.10610968880223516 0.1279620014457313 0.12891331802237352 
2,Au,0.0 0.14539907672624158 0.1453990767262422 0.1453990767262416 0.14539907672624114 0.1453990767262415 0.14539907672624242 0.14539907672624103 0.14539907672624194 0.1453990767262414 0.14539907672624247 0.14539907672624122 0.14539907672624253 0.14539907672624164 0.145399076726243 0.14539907672624097 0.1453990767262427 0.14539907672624114 0.14539907672624236 0.14539907672624167 0.1453990767262419 0.14539907672624153 0.1453990767262414 0.14539907672624156 0.14539907672624214 0.1453990767262413 0.14539907672624225 0.14539907672624133 0.14539907672624147 0.14539907672624117 0.14539907672624278 0.14539907672624128 0.145399076726242 0.1453990767262406 0.1453990767262419 0.14539907672621008 0.1453990767260777 0.14539907669859 0.14539907665168836 0.14539907543976696 0.1453990753750301 0.145399064623299 0.14539907054343695 0.14539898293021522 0.14539907547615083 0.14539828464835922 0.1453994711082965 0.14539164939277888 0.14541619842418715 0.14621688914770048 0.14928237065682773 0.15176682777635855 0.15310085231721482 0.15369976116153933 0.1539713432786702 0.15412013388101933 0.1537358629418065 0.1384442875031154 0.10131387440418706 0.07691547665824798 
2,Ag,0.0 0.5015310478475751 0.5015310478475818 0.5015310478475739 0.5015310478475792 0.5015310478475746 0.5015310478475784 0.5015310478475731 0.5015310478475787 0.5015310478475756 0.5015310478475764 0.5015310478475761 0.5015310478475784 0.501531047847575 0.5015310478475808 0.5015310478475722 0.5015310478475765 0.5015310478475761 0.5015310478475781 0.5015310478475741 0.5015310478475794 0.5015310478475756 0.5015310478475792 0.501531047847573 0.5015310478475793 0.5015310478475741 0.501531047847579 0.5015310478475737 0.5015310478475798 0.501531047847574 0.5015310478475793 0.501531047847575 0.50153104784758 0.5015310478475737 0.5015310478475793 0.5015310478476022 0.5015310478477649 0.5015310478792813 0.501531047933047 0.5015310493224738 0.5015310493966915 0.5015310617232093 0.5015310549359611 0.5015311553821641 0.5015310492806613 0.5015319559479282 0.5015305956967636 0.5015395633166738 0.5015114401430986 0.5005956731238973 0.49708840326418785 0.4942487318927414 0.492718526501188 0.4920583967477727 0.491700671295076 0.4917849398067567 0.48995860577687717 0.4377627821475786 0.30925241673316206 0.2310329582575317 
2,Ag,0.0 0.01061959756305895 0.010619597563058785 0.010619597563058941 0.010619597563058863 0.01061959756305896 0.010619597563058934 0.01061959756305896 0.010619597563058917 0.010619597563058976 0.010619597563058927 0.010619597563058962 0.010619597563059028 0.010619597563058936 0.01061959756305891 0.01061959756305894 0.01061959756305888 0.010619597563058955 0.010619597563058771 0.01061959756305896 0.010619597563058891 0.010619597563058936 0.010619597563058797 0.010619597563058936 0.010619597563058915 0.010619597563058941 0.010619597563058839 0.010619597563058908 0.01061959756305891 0.010619597563058948 0.010619597563058957 0.010619597563058943 0.010619597563058922 0.010619597563058912 0.01061959756305893 0.010619597563059 0.010619597563059848 0.010619597563194076 0.010619597563423209 0.010619597569343107 0.010619597569659403 0.010619597622174376 0.010619597593257844 0.010619598021165407 0.010619597569160333 0.010619601431354047 0.010619595636796654 0.010619633824820004 0.010619512577281958 0.010615465140371603 0.010600044509009681 0.01058737089845567 0.010580901639571458 0.01057633987016237 0.010577846534930414 0.010561438556376137 0.010686108172389705 0.01505613064215322 0.032151371905617 0.04946675010597619 
2,Au,0.5 0.009944593928244578 0.00994459392824467 0.00994459392824461 0.009944593928244642 0.00994459392824459 0.009944593928244618 0.009944593928244575 0.009944593928244606 0.009944593928244589 0.009944593928244726 0.00994459392824464 0.009944593928244655 0.009944593928244596 0.009944593928244594 0.009944593928244622 0.009944593928244719 0.009944593928244599 0.009944593928244691 0.009944593928244613 0.00994459392824469 0.009944593928244618 0.009944593928244625 0.009944593928244639 0.009944593928244655 0.00994459392824461 0.009944593928244688 0.009944593928244592 0.00994459392824476 0.009944593928244608 0.009944593928244642 0.00994459392824464 0.009944593928244642 0.009944593928244582 0.009944593928244651 0.009944593928243916 0.009944593928241251 0.00994459392766576 0.009944593926683825 0.009944593901310883 0.009944593899955513 0.009944593674851458 0.0099445937987983 0.009944591964456627 0.00994459390207299 0.009944577344410817 0.009944602185380333 0.00994443841035198 0.009944951122464499 0.009961586304861741 0.010025345679755094 0.010076854629500037 0.010104829398209551 0.010115824349694578 0.010124195020622201 0.010112490758805107 0.010229506641618945 0.014435896234225599 0.03175089526156128 0.04942521199594904 
3,Ag,0.25 0.06902148558169799 0.06902148558169896 0.06902148558169799 0.06902148558169904 0.06902148558169774 0.06902148558169896 0.06902148558169788 0.0690214855816991 0.06902148558169775 0.06902148558169878 0.06902148558169792 0.0690214855816987 0.06902148558169799 0.06902148558169909 0.06902148558169792 0.06902148558169896 0.06902148558169792 0.06902148558169854 0.069021485581698 0.06902148558169825 0.06902148558169784 0.06902148558169899 0.06902148558169792 0.06902148558169849 0.06902148558169784 0.06902148558169863 0.06902148558169814 0.06902148558169846 0.06902148558169792 0.06902148558169892 0.06902148558169786 0.06902148558169832 0.06902148558169753 0.06902148558169852 0.06902148558169818 0.06902148558170385 0.06902148558264595 0.06902148558425297 0.06902148562578111 0.06902148562799908 0.06902148599641295 0.06902148579354814 0.0690214887956459 0.0690214856243365 0.06902151272239705 0.06902147206395293 0.06902174006977063 0.0690208965143282 0.06899322967808187 0.0688874296059064 0.06880139460448717 0.06875572157693242 0.068732593128694 0.06872731861163835 0.06869828071876523 0.0687676583362386 0.07552491096821612 0.10227088674109851 0.11805807433868445 
3,Au,0.25 0.061334040277546395 0.06133404027754654 0.061334040277546215 0.06133404027754662 0.061334040277546235 0.06133404027754652 0.061334040277546124 0.06133404027754656 0.061334040277546395 0.061334040277546284 0.06133404027754649 0.06133404027754668 0.061334040277546346 0.061334040277546575 0.0613340402775461 0.06133404027754659 0.061334040277546506 0.06133404027754623 0.06133404027754646 0.06133404027754653 0.061334040277546444 0.06133404027754645 0.061334040277546256 0.061334040277546666 0.06133404027754628 0.061334040277546256 0.06133404027754624 0.061334040277546666 0.061334040277546256 0.06133404027754639 0.06133404027754643 0.0613340402775461 0.061334040277546006 0.06133404027754655 0.06133404027754283 0.061334040277532496 0.06133404027520652 0.06133404027123752 0.06133404016868154 0.06133404016320266 0.06133403925335187 0.06133403975432752 0.06133403234014533 0.06133404017157157 0.06133397324845937 0.06133407364784029 0.06133341172676904 0.06133548607827183 0.06140293988844454 0.06166135391686193 0.06187040623423473 0.061983360338200885 0.06203054942651925 0.06205908403908949 0.06203916596061639 0.062144399020795264 0.07024197996572801 0.100563677243039 0.1179178870504767 
4,Ag,0.0 0.006351437038296127 0.006351437038296086 0.006351437038296137 0.006351437038296074 0.006351437038296142 0.006351437038296127 0.0063514370382961585 0.006351437038296138 0.006351437038296155 0.0063514370382961195 0.006351437038296138 0.006351437038296158 0.006351437038296128 0.006351437038296107 0.006351437038296128 0.006351437038296118 0.0063514370382961385 0.006351437038296113 0.0063514370382961325 0.006351437038296099 0.006351437038296125 0.006351437038296062 0.006351437038296135 0.006351437038296085 0.006351437038296134 0.006351437038296086 0.006351437038296116 0.006351437038296127 0.006351437038296144 0.006351437038296095 0.006351437038296165 0.0063514370382961125 0.006351437038296125 0.00635143703829615 0.006351437038295638 0.006351437038293735 0.006351437037885579 0.00635143703718915 0.006351437019193276 0.0063514370182319695 0.006351436858577038 0.006351436946484832 0.006351435645488241 0.00635143701969467 0.006351425276405072 0.006351442893796587 0.0063513267424134875 0.006351690554131026 0.006363508651179784 0.006408793523151846 0.006445404826254693 0.006465230450574024 0.006473296565267654 0.00647866200493237 0.00647314684023614 0.0065045278159139835 0.00885285137413528 0.02435114123453433 0.04517346170038727 
